Position;Mean_Q1;Mean_Q2;Mean_Q3;Mean_Q4;Mean_MT1;Mean_MT2;Mean_Game;CV_Q1;CV_Q2;CV_Q3;CV_Q4;CV_MT1;CV_MT2;CV_Game;Max_Q1;Max_Q2;Max_Q3;Max_Q4;Max_MT1;Max_MT2;Max_Game;ApEn_Q1;ApEn_Q2;ApEn_Q3;ApEn_Q4;ApEn_MT1;ApEn_MT2;ApEn_Game;SampEn_Q1;SampEn_Q2;SampEn_Q3;SampEn_Q4;SampEn_MT1;SampEn_MT2;SampEn_Game;H2_Q1;H2_Q2;H2_Q3;H2_Q4;H2_MT1;H2_MT2;H2_Game;Frac_Max_Q1;Frac_Max_Q2;Frac_Max_Q3;Frac_Max_Q4;Frac_Max_MT1;Frac_Max_MT2;Frac_Max_Game;Frac_Peak_Q1;Frac_Peak_Q2;Frac_Peak_Q3;Frac_Peak_Q4;Frac_Peak_MT1;Frac_Peak_MT2;Frac_Peak_Game
MO;7.789367303;8.112066219;6.217392475;6.934284982;7.950716761;6.575838728;7.215188602;55.6051613;54.0735316;76.7392735;65.8007976;54.8614414;71.197433;63.5792138;22.29;27.45;25.84;28.05;27.45;28.05;28.05;0.241824659;0.248275034;0.234742947;0.237503633;0.246026579;0.237618298;0.241643699;0.123169701;0.127998894;0.105998372;0.109811436;0.126220049;0.10835417;0.116756956;1.0077;0.9854;1.0737;1.0315;0.9251;0.9662;0.9023;1.9428;2.4876;;5.3793;1.9091;9.9384;9.4746;1.13;1.26;;1.83;1.05;8.89;1.57
A;7.632878218;7.384194212;6.48928525;6.825641909;7.508540625;6.65746358;7.064558177;59.9136758;67.0906675;72.1890805;67.7624607;63.5137872;69.9657626;66.9606704;25.28;25.68;24.85;24.46;25.68;24.85;25.68;0.241409652;0.215226013;0.211507734;0.213985704;0.229786044;0.212629936;0.221834046;0.113609002;0.091201371;0.093003662;0.096334512;0.1020982;0.09464255;0.098460526;0.9168;1.056;1.0569;0.991;0.9386;0.9523;0.9089;1.7301;2.2374;;5.5381;2.0825;8.1705;8.1687;1.06;1.22;2.17;1.82;1.11;1.75;1.92
DC;6.614901118;6.467650544;5.897359959;5.145966099;6.541275831;5.521663029;6.026885345;60.1169607;58.6062233;65.0271705;68.0439566;59.3967233;66.8474612;63.4271124;23.31;22.72;22.3;19.85;23.31;22.3;23.31;0.272746842;0.266676683;0.263784305;0.293473179;0.272523712;0.279751657;0.274598855;0.168217212;0.145432046;0.147581827;0.163342651;0.158233363;0.155083929;0.155200618;0.9607;1.0339;0.9735;0.9241;0.9283;0.9055;0.8753;1.8351;1.9825;1.7997;1.5546;2.0114;1.5896;1.7884;1.06;1.15;1.09;1.03;1.05;1;0.97
DC;6.701445078;6.475201096;6.113884039;5.792851011;6.588323087;5.953367525;6.267990604;60.9585176;64.4999532;66.0780114;64.6634186;62.7250134;65.4907498;64.2766582;23.19;23.86;21.41;26.16;23.86;26.16;26.16;0.289773777;0.249842514;0.267098587;0.278634825;0.271954552;0.275204068;0.272821299;0.165463453;0.13288066;0.142093666;0.149215803;0.150372489;0.146715102;0.147691104;0.8773;1.0446;0.9938;0.937;0.901;0.9077;0.8636;1.8422;2.0533;2.2152;1.7897;1.9839;2.3728;2.1017;0.99;1.16;1.13;1.12;1.02;1.11;1.01
MO;6.936161025;6.677531294;6.110121006;5.153430186;6.80684616;5.631775596;6.212854919;64.4183112;63.5368301;69.8174477;67.911075;64.0343771;69.7974669;67.4297209;30.71;22.78;23.12;20.48;30.71;23.12;30.71;0.366430333;0.303720382;0.239334955;0.25333532;0.339311212;0.244821512;0.295977004;0.162207716;0.144111775;0.10934209;0.104812861;0.154207996;0.105270604;0.127373927;0.9994;0.9044;1.0168;1.0724;0.8862;0.9714;0.8743;1.664;1.6607;3.1944;4.0294;1.6752;4.628;4.3891;1.09;1.03;1.48;1.59;1.01;1.69;1.57
MO;6.538294072;6.330698883;6.588781138;6.212253877;6.434496477;6.400517508;6.417386934;65.7592673;64.8819261;63.8957246;63.2360225;65.3634642;63.6804676;64.526161;25.49;24.73;25.87;24.22;25.49;25.87;25.87;0.227810792;0.223408923;0.261516494;0.2881482;0.226325097;0.276643008;0.254348713;0.103938133;0.096362436;0.124831986;0.139329732;0.099964101;0.131221952;0.115329019;0.9751;1.0374;1.0436;0.951;0.9386;0.942;0.8969;3.3214;2.1918;5.3407;2.0321;3.4039;5.3536;4.9534;1.39;1.25;1.64;1.11;1.4;1.72;1.68
MO;6.997840997;6.401898458;6.563122349;5.981513703;6.699869727;6.272318026;6.481310925;59.6695619;70.6575308;66.1683696;73.7889939;65.1219896;69.9569496;67.5940341;23.31;24.72;26.9;26.13;24.72;26.9;26.9;0.246188037;0.20490341;0.229197992;0.250426844;0.225731657;0.242392233;0.235505874;0.1145045;0.077640318;0.095039079;0.107021277;0.095122732;0.101122451;0.097870102;0.9162;0.9423;1.02;0.9767;0.8602;0.9217;0.8602;1.8809;2.0785;1.8363;5.6011;2.0152;5.1347;5.7003;1.04;1.12;1.17;1.62;1.02;1.58;1.76
MO;7.219819368;6.718717655;6.34285381;5.414611693;6.969268511;5.878732751;6.404225442;64.2381855;70.6687671;68.6967975;79.713136;67.437213;74.190976;71.2083058;27.72;27.38;24.57;21.73;27.72;24.57;27.72;0.226548636;0.21378259;0.208634891;0.209879755;0.221868998;0.209188588;0.214079217;0.10096018;0.08909701;0.085392105;0.086490947;0.095160859;0.085950623;0.089189964;1.0421;1.0704;0.9605;1.03;0.9816;0.9276;0.9159;2.0738;1.9507;1.9287;2.3249;2.081;1.976;2.0606;1.17;1.23;1.12;1.28;1.12;1.09;1.08
MO;7.131038672;6.06056457;5.736496378;5.264890071;6.595821448;5.500693225;6.008674502;58.1942123;68.3835283;73.954489;70.2661629;63.3956301;72.4836128;68.4806206;26.08;25.38;27.46;26.11;26.08;27.46;27.46;0.24000175;0.220811643;0.206758008;0.227483948;0.231036584;0.21668719;0.222114563;0.106406296;0.08756334;0.081270564;0.089594185;0.096142778;0.084472804;0.088679473;0.9835;0.9654;1.0384;0.9807;0.9007;0.9396;0.8783;1.6471;1.9788;4.8047;2.7477;1.8088;4.8646;4.7993;1.07;1.13;1.41;1.35;1.03;1.48;1.58
MO;7.11752685;6.778571958;6.236825986;6.145116397;6.948049404;6.190971192;6.566106544;64.63061;60.7918991;68.4908296;67.543694;62.8989261;68.0305855;65.6042427;25.72;23.75;25.51;23.78;25.72;25.51;25.72;0.233564905;0.234144099;0.209332707;0.240680738;0.235939662;0.227450386;0.231810908;0.108376603;0.098625298;0.080142074;0.09356884;0.104116563;0.086924687;0.094692447;0.9787;0.9933;1.0614;0.9683;0.9151;0.9523;0.8914;2.0415;2.1135;1.9551;2.1903;2.0677;2.093;2.147;1.13;1.15;1.18;1.15;1.07;1.12;1.07
